TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
23:08:56.214 nvme           2675377 Unknown N    -1         512       0.033
23:08:57.224 nvme           2675436 Unknown N    -1         512       0.033
23:08:57.565 python3        2650193 nvme1n1 WS   108122624  131072    0.207
23:08:57.566 python3        2650194 nvme1n1 WS   107217920  131072    0.303
23:08:57.566 python3        2650193 nvme1n1 WS   108265984  131072    0.361
23:08:57.566 python3        2650193 nvme1n1 WS   108122880  131072    0.437
23:08:57.566 python3        2650194 nvme1n1 WS   107218176  131072    0.516
23:08:57.566 python3        2650194 nvme1n1 WS   107218432  131072    0.590
23:08:57.566 python3        2650193 nvme1n1 WS   108266240  131072    0.679
23:08:57.566 python3        2650193 nvme1n1 WS   108266496  131072    0.757
23:08:57.566 python3        2650193 nvme1n1 WS   108266752  131072    0.839
23:08:57.566 python3        2650193 nvme1n1 WS   108123136  131072    0.937
23:08:57.566 python3        2650193 nvme1n1 WS   108123392  131072    1.018
23:08:57.566 python3        2650193 nvme1n1 WS   108123648  131072    1.089
23:08:57.567 python3        2650193 nvme1n1 WS   108123904  131072    1.170
23:08:57.567 python3        2650193 nvme1n1 WS   108267008  131072    1.251
23:08:57.567 python3        2650193 nvme1n1 WS   108267264  131072    1.325
23:08:57.567 python3        2650193 nvme1n1 WS   108267520  131072    1.415
23:08:57.567 python3        2650193 nvme1n1 WS   108267776  131072    1.469
23:08:57.567 python3        2650193 nvme1n1 WS   108268032  131072    1.553
23:08:57.567 python3        2650193 nvme1n1 WS   108268288  131072    1.654
23:08:57.567 python3        2650193 nvme1n1 WS   108268544  131072    1.710
23:08:57.567 python3        2650193 nvme1n1 WS   108268800  131072    1.800
23:08:57.567 python3        2650193 nvme1n1 WS   108269056  131072    1.870
23:08:57.567 python3        2650193 nvme1n1 WS   108124160  131072    2.002
23:08:57.567 python3        2650193 nvme1n1 WS   108124416  131072    2.056
23:08:57.567 python3        2650193 nvme1n1 WS   108124672  131072    2.135
23:08:57.567 python3        2650193 nvme1n1 WS   108124928  131072    2.211
23:08:57.568 python3        2650193 nvme1n1 WS   108125184  131072    2.282
23:08:57.568 python3        2650193 nvme1n1 WS   108125440  131072    2.359
23:08:57.568 python3        2650193 nvme1n1 WS   108125696  131072    2.431
23:08:57.568 python3        2650194 nvme1n1 WS   107218688  131072    2.526
23:08:57.568 python3        2650194 nvme1n1 WS   108274176  131072    2.590
23:08:57.568 python3        2650194 nvme1n1 WS   108274432  131072    2.667
23:08:57.568 python3        2650194 nvme1n1 WS   108274688  131072    2.743
23:08:57.568 python3        2650194 nvme1n1 WS   108274944  131072    2.810
23:08:57.568 python3        2650194 nvme1n1 WS   108275200  131072    2.882
23:08:57.568 python3        2650194 nvme1n1 WS   108275456  131072    2.955
23:08:57.568 python3        2650194 nvme1n1 WS   108275712  131072    3.026
23:08:57.568 python3        2650194 nvme1n1 WS   108275968  131072    3.085
23:08:57.568 python3        2650194 nvme1n1 WS   108276224  131072    3.162
23:08:57.569 python3        2650193 nvme1n1 WS   108125952  131072    3.241
23:08:57.569 python3        2650193 nvme1n1 WS   108009472  131072    3.312
23:08:57.569 python3        2650194 nvme1n1 WS   108276480  131072    3.396
23:08:57.569 python3        2650193 nvme1n1 WS   108269312  131072    3.473
23:08:57.569 python3        2650194 nvme1n1 WS   108276736  131072    3.548
23:08:57.569 python3        2650193 nvme1n1 WS   108277248  131072    3.619
23:08:57.569 python3        2650193 nvme1n1 WS   108009728  131072    3.641
23:08:57.569 python3        2650193 nvme1n1 WS   108041216  131072    3.713
23:08:57.569 python3        2650193 nvme1n1 WS   108041472  131072    3.789
23:08:57.569 python3        2650194 nvme1n1 WS   108276992  131072    3.866
23:08:57.569 python3        2650194 nvme1n1 WS   108282368  131072    3.939
23:08:57.569 python3        2650193 nvme1n1 WS   108277504  131072    4.024
23:08:57.570 python3        2650193 nvme1n1 WS   108528128  131072    4.092
23:08:57.570 python3        2650193 nvme1n1 WS   108528384  131072    4.168
23:08:57.570 python3        2650194 nvme1n1 WS   108282624  131072    4.254
23:08:57.570 python3        2650192 nvme1n1 WS   108130816  131072    3.660
23:08:57.570 python3        2650192 nvme1n1 WS   108131072  131072    3.729
23:08:57.570 python3        2650192 nvme1n1 WS   108131328  131072    3.799
23:08:57.570 python3        2650192 nvme1n1 WS   108131584  131072    3.887
23:08:57.570 python3        2650192 nvme1n1 WS   108131840  131072    3.952
23:08:57.570 python3        2650192 nvme1n1 WS   108132096  131072    4.021
23:08:57.570 python3        2650192 nvme1n1 WS   108132352  131072    4.093
23:08:57.570 python3        2650192 nvme1n1 WS   108132608  131072    4.153
23:08:57.570 python3        2650192 nvme1n1 WS   108132864  131072    4.220
23:08:57.570 python3        2650192 nvme1n1 WS   108133120  131072    4.296
23:08:57.571 python3        2650192 nvme1n1 WS   108133376  131072    4.367
23:08:57.571 python3        2650192 nvme1n1 WS   108133632  131072    4.424
23:08:57.571 python3        2650192 nvme1n1 WS   108133888  131072    4.501
23:08:57.571 python3        2650192 nvme1n1 WS   108134144  131072    4.529
23:08:57.571 python3        2650192 nvme1n1 WS   108017664  131072    4.601
23:08:57.571 python3        2650192 nvme1n1 WS   108017920  131072    4.581
23:08:57.571 python3        2650192 nvme1n1 WS   108049408  131072    4.636
23:08:57.571 python3        2650192 nvme1n1 WS   108049664  131072    4.712
23:08:57.571 python3        2650194 nvme1n1 WS   108139008  131072    4.567
23:08:57.571 python3        2650194 nvme1n1 WS   108139264  131072    4.638
23:08:57.571 python3        2650194 nvme1n1 WS   108139520  131072    4.712
23:08:57.571 python3        2650194 nvme1n1 WS   108139776  131072    4.786
23:08:57.571 python3        2650194 nvme1n1 WS   108140032  131072    4.860
