TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
12:04:12.799 nvme           2397790 Unknown N    -1         512       0.036
12:04:13.688 python3        2290923 nvme1n1 WS   122384384  131072    0.182
12:04:13.688 python3        2290923 nvme1n1 WS   122384640  131072    0.245
12:04:13.688 python3        2290923 nvme1n1 WS   122384896  131072    0.331
12:04:13.688 python3        2290923 nvme1n1 WS   122385152  131072    0.403
12:04:13.688 python3        2290923 nvme1n1 WS   122385408  131072    0.493
12:04:13.688 python3        2290923 nvme1n1 WS   122385664  131072    0.568
12:04:13.688 python3        2290923 nvme1n1 WS   122385920  131072    0.636
12:04:13.688 python3        2290923 nvme1n1 WS   122386176  131072    0.687
12:04:13.688 python3        2290923 nvme1n1 WS   122386432  131072    0.766
12:04:13.688 python3        2290923 nvme1n1 WS   122386688  131072    0.849
12:04:13.688 python3        2290923 nvme1n1 WS   122386944  131072    0.932
12:04:13.688 python3        2290923 nvme1n1 WS   122387200  131072    1.033
12:04:13.689 python3        2290923 nvme1n1 WS   122387456  131072    1.100
12:04:13.689 python3        2290923 nvme1n1 WS   122387712  131072    1.158
12:04:13.689 python3        2290923 nvme1n1 WS   122387968  131072    1.247
12:04:13.689 python3        2290923 nvme1n1 WS   122388224  131072    1.309
12:04:13.689 python3        2290923 nvme1n1 WS   122388480  131072    1.378
12:04:13.689 python3        2290923 nvme1n1 WS   122388736  131072    1.466
12:04:13.689 python3        2290922 nvme1n1 WS   122392576  131072    1.384
12:04:13.689 python3        2290922 nvme1n1 WS   122392832  131072    1.458
12:04:13.689 python3        2290922 nvme1n1 WS   122421248  131072    1.541
12:04:13.689 python3        2290922 nvme1n1 WS   122421504  131072    1.608
12:04:13.689 python3        2290922 nvme1n1 WS   122393088  131072    1.695
12:04:13.689 python3        2290922 nvme1n1 WS   122393344  131072    1.774
12:04:13.690 python3        2290922 nvme1n1 WS   122393600  131072    1.853
12:04:13.690 python3        2290922 nvme1n1 WS   122393856  131072    1.937
12:04:13.690 python3        2290922 nvme1n1 WS   122394112  131072    2.005
12:04:13.690 python3        2290922 nvme1n1 WS   122421760  131072    2.096
12:04:13.690 python3        2290922 nvme1n1 WS   122422016  131072    2.163
12:04:13.690 python3        2290922 nvme1n1 WS   122422272  131072    2.234
12:04:13.690 python3        2290922 nvme1n1 WS   122422528  131072    2.307
12:04:13.690 python3        2290922 nvme1n1 WS   122422784  131072    2.382
12:04:13.690 python3        2290922 nvme1n1 WS   122394368  131072    2.440
12:04:13.690 python3        2290922 nvme1n1 WS   122394624  131072    2.512
12:04:13.690 python3        2290922 nvme1n1 WS   122394880  131072    2.585
12:04:13.690 python3        2290922 nvme1n1 WS   122423040  131072    2.670
12:04:13.690 python3        2290922 nvme1n1 WS   122395136  131072    2.732
12:04:13.691 python3        2290922 nvme1n1 WS   122395392  131072    2.809
12:04:13.691 python3        2290922 nvme1n1 WS   122395648  131072    2.878
12:04:13.691 python3        2290922 nvme1n1 WS   122395904  131072    2.953
12:04:13.691 python3        2290922 nvme1n1 WS   122396160  131072    3.031
12:04:13.691 python3        2290922 nvme1n1 WS   122423296  131072    3.131
12:04:13.691 python3        2290922 nvme1n1 WS   122423552  131072    3.200
12:04:13.691 python3        2290922 nvme1n1 WS   122423808  131072    3.275
12:04:13.691 python3        2290922 nvme1n1 WS   122424064  131072    3.349
12:04:13.691 python3        2290922 nvme1n1 WS   122424320  131072    3.423
12:04:13.691 python3        2290922 nvme1n1 WS   122424576  131072    3.494
12:04:13.691 python3        2290922 nvme1n1 WS   122424832  131072    3.569
12:04:13.691 python3        2290922 nvme1n1 WS   122425088  131072    3.625
12:04:13.691 python3        2290922 nvme1n1 WS   122425344  131072    3.698
12:04:13.692 python3        2290922 nvme1n1 WS   122425600  131072    3.774
12:04:13.692 python3        2290922 nvme1n1 WS   122396416  131072    3.863
12:04:13.692 python3        2290922 nvme1n1 WS   122396672  131072    3.943
12:04:13.692 python3        2290922 nvme1n1 WS   122396928  131072    4.013
12:04:13.692 python3        2290922 nvme1n1 WS   122400768  131072    3.525
12:04:13.692 python3        2290922 nvme1n1 WS   122401024  131072    3.594
12:04:13.692 python3        2290922 nvme1n1 WS   122401280  131072    3.669
12:04:13.692 python3        2290922 nvme1n1 WS   122401536  131072    3.741
12:04:13.692 python3        2290922 nvme1n1 WS   122401792  131072    3.816
12:04:13.692 python3        2290922 nvme1n1 WS   122402048  131072    3.892
12:04:13.692 python3        2290922 nvme1n1 WS   122402304  131072    3.963
12:04:13.692 python3        2290920 nvme1n1 WS   122404864  131072    4.056
12:04:13.693 python3        2290920 nvme1n1 WS   122405120  131072    4.122
12:04:13.693 python3        2290920 nvme1n1 WS   122405376  131072    4.195
12:04:13.693 python3        2290920 nvme1n1 WS   122405632  131072    4.270
12:04:13.693 python3        2290923 nvme1n1 WS   122408960  131072    4.362
12:04:13.693 python3        2290923 nvme1n1 WS   122409216  131072    4.431
12:04:13.693 python3        2290923 nvme1n1 WS   122409472  131072    4.501
12:04:13.693 python3        2290923 nvme1n1 WS   122409728  131072    4.580
12:04:13.693 python3        2290923 nvme1n1 WS   122409984  131072    4.650
12:04:13.693 python3        2290923 nvme1n1 WS   122410240  131072    4.722
12:04:13.693 python3        2290923 nvme1n1 WS   122410496  131072    4.800
12:04:13.693 python3        2290920 nvme1n1 WS   122405888  131072    4.885
12:04:13.693 python3        2290920 nvme1n1 WS   122406144  131072    4.955
12:04:13.693 python3        2290920 nvme1n1 WS   122406400  131072    5.028
12:04:13.694 python3        2290923 nvme1n1 WS   122413056  131072    5.114
12:04:13.694 python3        2290923 nvme1n1 WS   122413312  131072    5.177
12:04:13.694 python3        2290921 nvme1n1 WS   122429440  131072    5.259
12:04:13.695 python3        2290921 nvme1n1 WS   122429696  131072    5.324
12:04:13.695 python3        2290921 nvme1n1 WS   122429952  131072    5.401
12:04:13.695 python3        2290921 nvme1n1 WS   122430208  131072    5.471
12:04:13.695 python3        2290921 nvme1n1 WS   122430464  131072    6.206
12:04:13.695 python3        2290921 nvme1n1 WS   122430720  131072    6.277
12:04:13.695 python3        2290921 nvme1n1 WS   122430976  131072    6.350
12:04:13.695 python3        2290923 nvme1n1 WS   122413568  131072    5.572
12:04:13.695 python3        2290923 nvme1n1 WS   122413824  131072    5.636
12:04:13.695 python3        2290923 nvme1n1 WS   122414080  131072    5.710
12:04:13.695 python3        2290923 nvme1n1 WS   122414336  131072    5.783
12:04:13.695 python3        2290922 nvme1n1 WS   122402560  131072    5.875
12:04:13.695 python3        2290922 nvme1n1 WS   122402816  131072    5.947
12:04:13.695 python3        2290922 nvme1n1 WS   122403072  131072    6.053
12:04:13.695 python3        2290922 nvme1n1 WS   122403328  131072    6.126
12:04:13.695 python3        2290922 nvme1n1 WS   122403584  131072    6.436
12:04:13.695 python3        2290922 nvme1n1 WS   122403840  131072    6.513
12:04:13.695 python3        2290922 nvme1n1 WS   122404096  131072    6.586
12:04:13.695 python3        2290922 nvme1n1 WS   122404352  131072    6.661
12:04:13.695 python3        2290920 nvme1n1 WS   122406656  131072    6.758
12:04:13.695 python3        2290920 nvme1n1 WS   122406912  131072    6.841
12:04:13.695 python3        2290920 nvme1n1 WS   122407168  131072    6.909
