TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
12:25:09.283 kworker        2406527 nvme0n1 W    37820504   28672     1.272
12:25:09.313 python3        2290923 nvme1n1 WS   142422016  131072    0.200
12:25:09.313 python3        2290923 nvme1n1 WS   142868480  131072    0.275
12:25:09.313 python3        2290923 nvme1n1 WS   142868736  131072    0.347
12:25:09.313 python3        2290923 nvme1n1 WS   142868992  131072    0.425
12:25:09.314 python3        2290923 nvme1n1 WS   142869248  131072    0.511
12:25:09.314 python3        2290923 nvme1n1 WS   142869504  131072    0.584
12:25:09.314 python3        2290923 nvme1n1 WS   142422272  131072    0.680
12:25:09.314 python3        2290923 nvme1n1 WS   142422528  131072    0.764
12:25:09.314 python3        2290923 nvme1n1 WS   142422784  131072    0.837
12:25:09.314 python3        2290923 nvme1n1 WS   142423040  131072    0.917
12:25:09.314 python3        2290923 nvme1n1 WS   142423296  131072    0.998
12:25:09.314 python3        2290923 nvme1n1 WS   142423552  131072    1.078
12:25:09.314 python3        2290923 nvme1n1 WS   142423808  131072    1.116
12:25:09.314 python3        2290923 nvme1n1 WS   142869760  131072    1.250
12:25:09.314 python3        2290923 nvme1n1 WS   142870016  131072    1.328
12:25:09.315 python3        2290923 nvme1n1 WS   142870272  131072    1.365
12:25:09.315 python3        2290923 nvme1n1 WS   142424064  131072    1.447
12:25:09.315 python3        2290923 nvme1n1 WS   142424320  131072    1.525
12:25:09.315 python3        2290923 nvme1n1 WS   142424576  131072    1.608
12:25:09.315 python3        2290923 nvme1n1 WS   142424832  131072    1.690
12:25:09.315 python3        2290923 nvme1n1 WS   142870528  131072    1.783
12:25:09.315 python3        2290923 nvme1n1 WS   142870784  131072    1.863
12:25:09.315 python3        2290923 nvme1n1 WS   142871040  131072    1.941
12:25:09.315 python3        2290923 nvme1n1 WS   142871296  131072    2.017
12:25:09.315 python3        2290923 nvme1n1 WS   142425088  131072    2.098
12:25:09.315 python3        2290923 nvme1n1 WS   142425344  131072    2.176
12:25:09.315 python3        2290923 nvme1n1 WS   142425600  131072    2.252
12:25:09.315 python3        2290923 nvme1n1 WS   142871552  131072    2.341
12:25:09.316 python3        2290923 nvme1n1 WS   142871808  131072    2.418
12:25:09.316 python3        2290923 nvme1n1 WS   142872064  131072    2.497
12:25:09.316 python3        2290923 nvme1n1 WS   142425856  131072    2.561
12:25:09.316 python3        2290923 nvme1n1 WS   142872320  131072    2.641
12:25:09.316 python3        2290923 nvme1n1 WS   142426112  131072    2.720
12:25:09.316 python3        2290923 nvme1n1 WS   142426368  131072    2.802
12:25:09.316 python3        2290923 nvme1n1 WS   142872576  131072    2.891
12:25:09.316 python3        2290923 nvme1n1 WS   142872832  131072    2.965
12:25:09.316 python3        2290923 nvme1n1 WS   142430208  131072    2.773
12:25:09.316 python3        2290923 nvme1n1 WS   142430464  131072    2.833
12:25:09.316 python3        2290923 nvme1n1 WS   142430720  131072    2.922
12:25:09.316 python3        2290923 nvme1n1 WS   142430976  131072    3.007
12:25:09.317 python3        2290923 nvme1n1 WS   142431232  131072    3.067
12:25:09.317 python3        2290923 nvme1n1 WS   142431488  131072    3.152
12:25:09.317 python3        2290923 nvme1n1 WS   142431744  131072    3.226
12:25:09.317 python3        2290923 nvme1n1 WS   142432000  131072    3.268
12:25:09.317 python3        2290923 nvme1n1 WS   142432256  131072    3.346
12:25:09.317 python3        2290923 nvme1n1 WS   142432512  131072    3.433
12:25:09.317 python3        2290923 nvme1n1 WS   142432768  131072    3.516
12:25:09.317 python3        2290923 nvme1n1 WS   142433024  131072    3.588
12:25:09.317 python3        2290923 nvme1n1 WS   142433280  131072    3.657
12:25:09.317 python3        2290923 nvme1n1 WS   142433536  131072    3.716
12:25:09.317 python3        2290923 nvme1n1 WS   142433792  131072    3.788
12:25:09.317 python3        2290923 nvme1n1 WS   142434048  131072    3.840
12:25:09.318 python3        2290923 nvme1n1 WS   142434304  131072    3.916
12:25:09.318 python3        2290923 nvme1n1 WS   142434560  131072    3.993
12:25:09.318 python3        2290923 nvme1n1 WS   142438400  131072    3.978
12:25:09.318 python3        2290923 nvme1n1 WS   142438656  131072    4.047
12:25:09.318 python3        2290923 nvme1n1 WS   142438912  131072    4.121
12:25:09.318 python3        2290923 nvme1n1 WS   142439168  131072    4.196
12:25:09.318 python3        2290923 nvme1n1 WS   142439424  131072    4.268
12:25:09.318 python3        2290923 nvme1n1 WS   142439680  131072    4.349
12:25:09.318 python3        2290923 nvme1n1 WS   142439936  131072    4.420
12:25:09.318 python3        2290923 nvme1n1 WS   142440192  131072    4.453
12:25:09.318 python3        2290923 nvme1n1 WS   142440448  131072    4.524
12:25:09.318 python3        2290923 nvme1n1 WS   142440704  131072    4.597
12:25:09.318 python3        2290923 nvme1n1 WS   142440960  131072    4.668
12:25:09.319 python3        2290923 nvme1n1 WS   142441216  131072    4.740
12:25:09.319 python3        2290923 nvme1n1 WS   142441472  131072    4.813
12:25:09.319 python3        2290923 nvme1n1 WS   142441728  131072    4.887
12:25:09.319 python3        2290923 nvme1n1 WS   142441984  131072    4.959
12:25:09.319 python3        2290923 nvme1n1 WS   142442240  131072    5.025
12:25:09.319 python3        2290923 nvme1n1 WS   142442496  131072    5.090
12:25:09.319 python3        2290923 nvme1n1 WS   142442752  131072    5.168
12:25:09.319 python3        2290920 nvme1n1 WS   142446592  131072    3.169
12:25:09.319 python3        2290920 nvme1n1 WS   142446848  131072    3.236
12:25:09.319 python3        2290920 nvme1n1 WS   142447104  131072    3.307
12:25:09.319 python3        2290920 nvme1n1 WS   142447360  131072    3.379
12:25:09.319 python3        2290920 nvme1n1 WS   142447616  131072    3.455
12:25:09.319 python3        2290920 nvme1n1 WS   142447872  131072    3.527
12:25:09.320 python3        2290920 nvme1n1 WS   142448128  131072    3.598
12:25:09.320 python3        2290920 nvme1n1 WS   142448384  131072    3.606
12:25:09.320 python3        2290920 nvme1n1 WS   142448640  131072    3.683
12:25:09.320 python3        2290920 nvme1n1 WS   142448896  131072    3.755
12:25:09.320 python3        2290920 nvme1n1 WS   142449152  131072    3.831
12:25:09.320 python3        2290920 nvme1n1 WS   142449408  131072    3.907
12:25:09.320 python3        2290920 nvme1n1 WS   142449664  131072    3.981
12:25:09.320 python3        2290920 nvme1n1 WS   142449920  131072    4.059
12:25:09.320 python3        2290920 nvme1n1 WS   142450176  131072    4.135
12:25:09.320 python3        2290920 nvme1n1 WS   142450432  131072    4.191
12:25:09.320 python3        2290920 nvme1n1 WS   142450688  131072    4.264
12:25:09.320 python3        2290920 nvme1n1 WS   142450944  131072    4.336
12:25:09.320 python3        2290920 nvme1n1 WS   142454784  131072    4.324
12:25:09.321 python3        2290920 nvme1n1 WS   142455040  131072    4.390
12:25:09.321 python3        2290920 nvme1n1 WS   142455296  131072    4.462
12:25:09.321 python3        2290920 nvme1n1 WS   142455552  131072    4.536
12:25:09.321 python3        2290920 nvme1n1 WS   142455808  131072    4.607
12:25:09.321 python3        2290920 nvme1n1 WS   142456064  131072    4.679
12:25:09.321 python3        2290920 nvme1n1 WS   142456320  131072    4.753
12:25:09.321 python3        2290920 nvme1n1 WS   142456576  131072    4.776
12:25:09.321 python3        2290920 nvme1n1 WS   142456832  131072    4.851
12:25:09.321 python3        2290920 nvme1n1 WS   142457088  131072    4.924
12:25:09.321 python3        2290920 nvme1n1 WS   142457344  131072    4.998
12:25:09.321 python3        2290920 nvme1n1 WS   142457600  131072    5.070
12:25:09.321 python3        2290920 nvme1n1 WS   142457856  131072    5.141
12:25:09.321 python3        2290920 nvme1n1 WS   142458112  131072    5.217
12:25:09.322 python3        2290920 nvme1n1 WS   142458368  131072    5.288
12:25:09.322 python3        2290920 nvme1n1 WS   142458624  131072    5.336
