TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
13:42:04.213 nvme           2503553 Unknown N    -1         512       0.035
13:42:05.231 nvme           2503606 Unknown N    -1         512       0.038
13:42:06.249 nvme           2503608 Unknown N    -1         512       0.030
13:42:07.266 nvme           2503610 Unknown N    -1         512       0.036
13:42:07.440 python3        2290922 nvme1n1 WS   624488448  131072    0.178
13:42:07.440 python3        2290922 nvme1n1 WS   624488704  131072    0.245
13:42:07.441 python3        2290922 nvme1n1 WS   624488960  131072    0.324
13:42:07.441 python3        2290922 nvme1n1 WS   624489216  131072    0.404
13:42:07.441 python3        2290922 nvme1n1 WS   624489472  131072    0.482
13:42:07.441 python3        2290922 nvme1n1 WS   624489728  131072    0.558
13:42:07.441 python3        2290922 nvme1n1 WS   624489984  131072    0.636
13:42:07.441 python3        2290922 nvme1n1 WS   624490240  131072    0.679
13:42:07.441 python3        2290922 nvme1n1 WS   624490496  131072    0.755
13:42:07.441 python3        2290922 nvme1n1 WS   624490752  131072    0.830
13:42:07.441 python3        2290922 nvme1n1 WS   624491008  131072    0.905
13:42:07.441 python3        2290922 nvme1n1 WS   624491264  131072    0.988
13:42:07.441 python3        2290922 nvme1n1 WS   624491520  131072    1.077
13:42:07.441 python3        2290922 nvme1n1 WS   624491776  131072    1.143
13:42:07.442 python3        2290922 nvme1n1 WS   624492032  131072    1.235
13:42:07.442 python3        2290922 nvme1n1 WS   624492288  131072    1.294
13:42:07.442 python3        2290922 nvme1n1 WS   624492544  131072    1.359
13:42:07.442 python3        2290922 nvme1n1 WS   624492800  131072    1.442
13:42:07.442 python3        2290922 nvme1n1 WS   624496640  131072    0.670
13:42:07.442 python3        2290922 nvme1n1 WS   624496896  131072    0.740
13:42:07.442 python3        2290922 nvme1n1 WS   624497152  131072    0.815
13:42:07.442 python3        2290922 nvme1n1 WS   624497408  131072    0.899
13:42:07.442 python3        2290922 nvme1n1 WS   624497664  131072    0.971
13:42:07.442 python3        2290922 nvme1n1 WS   624497920  131072    1.049
13:42:07.443 python3        2290922 nvme1n1 WS   624498176  131072    1.145
13:42:07.443 python3        2290922 nvme1n1 WS   624498432  131072    1.197
13:42:07.443 python3        2290922 nvme1n1 WS   624498688  131072    1.263
13:42:07.443 python3        2290922 nvme1n1 WS   624498944  131072    1.338
13:42:07.443 python3        2290922 nvme1n1 WS   624499200  131072    1.425
13:42:07.443 python3        2290922 nvme1n1 WS   624499456  131072    1.495
13:42:07.443 python3        2290922 nvme1n1 WS   624499712  131072    1.574
13:42:07.443 python3        2290922 nvme1n1 WS   624499968  131072    1.651
13:42:07.443 python3        2290922 nvme1n1 WS   624500224  131072    1.733
13:42:07.443 python3        2290922 nvme1n1 WS   624500480  131072    1.798
13:42:07.443 python3        2290922 nvme1n1 WS   624500736  131072    1.869
13:42:07.443 python3        2290922 nvme1n1 WS   624500992  131072    1.945
13:42:07.443 python3        2290920 nvme1n1 WS   624504832  131072    1.907
13:42:07.443 python3        2290920 nvme1n1 WS   624505088  131072    1.974
13:42:07.444 python3        2290920 nvme1n1 WS   624505344  131072    2.043
13:42:07.444 python3        2290920 nvme1n1 WS   624505600  131072    2.113
13:42:07.444 python3        2290920 nvme1n1 WS   624505856  131072    2.185
13:42:07.444 python3        2290920 nvme1n1 WS   624506112  131072    2.267
13:42:07.444 python3        2290920 nvme1n1 WS   624506368  131072    2.334
13:42:07.444 python3        2290920 nvme1n1 WS   624506624  131072    2.380
13:42:07.444 python3        2290920 nvme1n1 WS   624506880  131072    2.454
13:42:07.444 python3        2290920 nvme1n1 WS   624507136  131072    2.527
13:42:07.444 python3        2290920 nvme1n1 WS   624507392  131072    2.598
13:42:07.444 python3        2290920 nvme1n1 WS   624507648  131072    2.672
13:42:07.444 python3        2290920 nvme1n1 WS   624507904  131072    2.750
13:42:07.444 python3        2290920 nvme1n1 WS   624508160  131072    2.823
13:42:07.444 python3        2290920 nvme1n1 WS   624508416  131072    2.894
13:42:07.444 python3        2290920 nvme1n1 WS   624508672  131072    2.946
13:42:07.445 python3        2290920 nvme1n1 WS   624508928  131072    3.018
13:42:07.445 python3        2290920 nvme1n1 WS   624509184  131072    3.094
13:42:07.445 python3        2290922 nvme1n1 WS   624513024  131072    2.893
13:42:07.445 python3        2290922 nvme1n1 WS   624513280  131072    2.960
13:42:07.445 python3        2290922 nvme1n1 WS   624513536  131072    3.036
13:42:07.445 python3        2290922 nvme1n1 WS   624513792  131072    3.105
13:42:07.445 python3        2290922 nvme1n1 WS   624514048  131072    3.177
13:42:07.445 python3        2290922 nvme1n1 WS   624514304  131072    3.256
