TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
13:52:14.067 nvme           2511072 Unknown N    -1         512       0.038
13:52:14.242 kworker        2509211 nvme0n1 W    37879984   8192      1.052
13:52:15.092 nvme           2511125 Unknown N    -1         512       0.032
13:52:15.151 python3        2290921 nvme1n1 WS   800727040  131072    0.184
13:52:15.151 python3        2290921 nvme1n1 WS   800727296  131072    0.269
13:52:15.151 python3        2290921 nvme1n1 WS   800727552  131072    0.329
13:52:15.151 python3        2290921 nvme1n1 WS   800727808  131072    0.438
13:52:15.152 python3        2290921 nvme1n1 WS   359129088  131072    0.525
13:52:15.152 python3        2290921 nvme1n1 WS   800728064  131072    0.568
13:52:15.152 python3        2290921 nvme1n1 WS   800728320  131072    0.687
13:52:15.152 python3        2290921 nvme1n1 WS   800728576  131072    0.751
13:52:15.152 python3        2290921 nvme1n1 WS   359129344  131072    0.825
13:52:15.152 python3        2290921 nvme1n1 WS   359129600  131072    0.888
13:52:15.152 python3        2290921 nvme1n1 WS   359129856  131072    0.964
13:52:15.152 python3        2290921 nvme1n1 WS   359130112  131072    1.045
13:52:15.152 python3        2290921 nvme1n1 WS   359130368  131072    1.124
13:52:15.152 python3        2290921 nvme1n1 WS   359130624  131072    1.203
13:52:15.152 python3        2290921 nvme1n1 WS   800728832  131072    1.273
13:52:15.152 python3        2290921 nvme1n1 WS   800729088  131072    1.349
13:52:15.152 python3        2290921 nvme1n1 WS   800729344  131072    1.431
13:52:15.153 python3        2290921 nvme1n1 WS   800729600  131072    1.507
13:52:15.153 python3        2290921 nvme1n1 WS   800729856  131072    1.589
13:52:15.153 python3        2290921 nvme1n1 WS   800730112  131072    1.668
13:52:15.153 python3        2290921 nvme1n1 WS   800730368  131072    1.748
13:52:15.153 python3        2290921 nvme1n1 WS   800730624  131072    1.826
13:52:15.153 python3        2290923 nvme1n1 WS   800731136  131072    1.922
13:52:15.153 python3        2290923 nvme1n1 WS   800731392  131072    1.999
13:52:15.153 python3        2290921 nvme1n1 WS   359130880  131072    2.085
13:52:15.153 python3        2290921 nvme1n1 WS   359131136  131072    2.160
13:52:15.153 python3        2290921 nvme1n1 WS   359131392  131072    2.238
13:52:15.153 python3        2290921 nvme1n1 WS   359131648  131072    2.309
13:52:15.153 python3        2290923 nvme1n1 WS   800731648  131072    2.395
13:52:15.154 python3        2290923 nvme1n1 WS   800731904  131072    2.469
13:52:15.154 python3        2290923 nvme1n1 WS   800732160  131072    2.544
13:52:15.154 python3        2290921 nvme1n1 WS   359131904  131072    2.614
13:52:15.154 python3        2290921 nvme1n1 WS   359132160  131072    2.690
13:52:15.154 python3        2290921 nvme1n1 WS   359132416  131072    2.763
13:52:15.154 python3        2290921 nvme1n1 WS   359132672  131072    2.838
13:52:15.154 python3        2290923 nvme1n1 WS   800732416  131072    2.925
13:52:15.154 python3        2290923 nvme1n1 WS   800732672  131072    2.998
13:52:15.154 python3        2290921 nvme1n1 WS   800730880  131072    3.081
13:52:15.154 python3        2290921 nvme1n1 WS   800739328  131072    3.152
13:52:15.154 python3        2290921 nvme1n1 WS   800739584  131072    3.225
13:52:15.154 python3        2290923 nvme1n1 WS   800735232  131072    3.295
13:52:15.154 python3        2290923 nvme1n1 WS   800735488  131072    3.365
13:52:15.155 python3        2290923 nvme1n1 WS   800735744  131072    3.441
13:52:15.155 python3        2290923 nvme1n1 WS   800736000  131072    3.514
13:52:15.155 python3        2290921 nvme1n1 WS   359132928  131072    3.599
13:52:15.155 python3        2290921 nvme1n1 WS   359133184  131072    3.669
13:52:15.155 python3        2290923 nvme1n1 WS   800736256  131072    3.743
13:52:15.155 python3        2290923 nvme1n1 WS   800736512  131072    3.813
13:52:15.155 python3        2290923 nvme1n1 WS   800736768  131072    3.887
13:52:15.155 python3        2290921 nvme1n1 WS   359133440  131072    3.977
13:52:15.155 python3        2290923 nvme1n1 WS   800732928  131072    4.051
13:52:15.155 python3        2290923 nvme1n1 WS   800733184  131072    4.122
13:52:15.155 python3        2290923 nvme1n1 WS   800733440  131072    4.196
13:52:15.155 python3        2290923 nvme1n1 WS   800733696  131072    4.270
13:52:15.155 python3        2290923 nvme1n1 WS   800733952  131072    4.347
13:52:15.156 python3        2290923 nvme1n1 WS   800734208  131072    4.418
13:52:15.156 python3        2290923 nvme1n1 WS   800734464  131072    4.495
13:52:15.156 python3        2290923 nvme1n1 WS   800734720  131072    4.568
13:52:15.156 python3        2290923 nvme1n1 WS   800737024  131072    4.640
13:52:15.156 python3        2290923 nvme1n1 WS   800737280  131072    4.711
13:52:15.156 python3        2290923 nvme1n1 WS   800737536  131072    4.795
13:52:15.156 python3        2290923 nvme1n1 WS   800737792  131072    4.865
13:52:15.156 python3        2290923 nvme1n1 WS   800738048  131072    4.940
13:52:15.156 python3        2290923 nvme1n1 WS   800738304  131072    5.015
13:52:15.156 python3        2290923 nvme1n1 WS   800738560  131072    5.090
13:52:15.156 python3        2290923 nvme1n1 WS   800738816  131072    5.162
13:52:15.156 python3        2290923 nvme1n1 WS   800734976  131072    5.244
13:52:15.157 python3        2290923 nvme1n1 WS   800743424  131072    5.316
13:52:15.157 python3        2290923 nvme1n1 WS   800743680  131072    5.393
13:52:15.157 python3        2290923 nvme1n1 WS   800739072  131072    5.447
13:52:15.157 python3        2290923 nvme1n1 WS   800751616  131072    5.525
13:52:15.157 python3        2290923 nvme1n1 WS   800751872  131072    5.596
13:52:15.157 python3        2290920 nvme1n1 WS   800747520  131072    5.669
13:52:15.157 python3        2290920 nvme1n1 WS   800747776  131072    5.736
13:52:15.157 python3        2290920 nvme1n1 WS   800748032  131072    5.797
13:52:15.157 python3        2290920 nvme1n1 WS   800748288  131072    5.870
13:52:15.157 python3        2290920 nvme1n1 WS   800748544  131072    5.941
13:52:15.157 python3        2290920 nvme1n1 WS   800748800  131072    6.017
13:52:15.158 python3        2290920 nvme1n1 WS   800749056  131072    6.096
13:52:15.158 python3        2290922 nvme1n1 WS   800755712  131072    6.171
13:52:15.158 python3        2290922 nvme1n1 WS   800755968  131072    6.242
13:52:15.158 python3        2290922 nvme1n1 WS   800756224  131072    6.316
13:52:15.158 python3        2290922 nvme1n1 WS   800756480  131072    6.391
13:52:15.158 python3        2290922 nvme1n1 WS   800756736  131072    6.465
13:52:15.158 python3        2290922 nvme1n1 WS   800756992  131072    6.544
13:52:15.158 python3        2290922 nvme1n1 WS   800757248  131072    6.615
13:52:15.158 python3        2290920 nvme1n1 WS   800749312  131072    6.690
13:52:15.158 python3        2290920 nvme1n1 WS   800749568  131072    6.763
13:52:15.158 python3        2290920 nvme1n1 WS   800749824  131072    6.874
13:52:15.158 python3        2290920 nvme1n1 WS   359137280  131072    6.960
13:52:15.158 python3        2290920 nvme1n1 WS   359137536  131072    7.032
13:52:15.158 python3        2290920 nvme1n1 WS   359137792  131072    7.109
13:52:15.159 python3        2290920 nvme1n1 WS   359138048  131072    7.185
13:52:15.159 python3        2290920 nvme1n1 WS   800750080  131072    7.274
13:52:15.159 python3        2290920 nvme1n1 WS   800750336  131072    7.352
13:52:15.159 python3        2290920 nvme1n1 WS   800750592  131072    7.423
13:52:15.159 python3        2290920 nvme1n1 WS   800750848  131072    7.735
13:52:15.159 python3        2290920 nvme1n1 WS   800751104  131072    7.812
13:52:15.159 python3        2290920 nvme1n1 WS   800751360  131072    7.864
13:52:15.159 python3        2290920 nvme1n1 WS   359138304  131072    7.501
13:52:15.159 python3        2290920 nvme1n1 WS   359138560  131072    7.577
13:52:15.159 python3        2290920 nvme1n1 WS   359138816  131072    7.651
13:52:15.159 python3        2290922 nvme1n1 WS   800757504  131072    7.976
13:52:15.159 python3        2290922 nvme1n1 WS   800757760  131072    8.045
13:52:15.160 python3        2290922 nvme1n1 WS   800758016  131072    8.118
13:52:15.160 python3        2290922 nvme1n1 WS   800758272  131072    8.194
13:52:15.160 python3        2290922 nvme1n1 WS   800758528  131072    8.267
13:52:15.160 python3        2290922 nvme1n1 WS   800758784  131072    8.345
13:52:15.160 python3        2290921 nvme1n1 WS   800759808  131072    8.458
13:52:15.160 python3        2290921 nvme1n1 WS   800760064  131072    8.520
13:52:15.160 python3        2290921 nvme1n1 WS   800760320  131072    8.608
13:52:15.160 python3        2290921 nvme1n1 WS   800760576  131072    8.675
13:52:15.160 python3        2290921 nvme1n1 WS   800760832  131072    8.750
13:52:15.160 python3        2290920 nvme1n1 WS   800763904  131072    8.820
13:52:15.161 python3        2290920 nvme1n1 WS   800764160  131072    8.897
13:52:15.161 python3        2290921 nvme1n1 WS   800761088  131072    8.984
13:52:15.161 python3        2290921 nvme1n1 WS   800761344  131072    9.059
13:52:15.161 python3        2290921 nvme1n1 WS   800761600  131072    9.103
13:52:15.161 python3        2290921 nvme1n1 WS   800761856  131072    9.181
13:52:15.161 python3        2290921 nvme1n1 WS   800762112  131072    9.258
13:52:15.161 python3        2290921 nvme1n1 WS   800762368  131072    9.333
13:52:15.161 python3        2290921 nvme1n1 WS   800762624  131072    9.408
13:52:15.161 python3        2290921 nvme1n1 WS   800762880  131072    9.484
13:52:15.161 python3        2290922 nvme1n1 WS   800759040  131072    9.617
13:52:15.161 python3        2290922 nvme1n1 WS   800759296  131072    9.698
13:52:15.161 python3        2290922 nvme1n1 WS   800759552  131072    9.751
13:52:15.161 python3        2290922 nvme1n1 WS   800768000  131072    9.829
13:52:15.162 python3        2290922 nvme1n1 WS   800768256  131072    9.904
13:52:15.162 python3        2290920 nvme1n1 WS   359139072  131072   10.014
13:52:15.162 python3        2290920 nvme1n1 WS   359139328  131072   10.086
13:52:15.162 python3        2290920 nvme1n1 WS   359139584  131072   10.162
13:52:15.162 python3        2290920 nvme1n1 WS   359139840  131072   10.238
13:52:15.162 python3        2290920 nvme1n1 WS   359140096  131072   10.315
13:52:15.162 python3        2290920 nvme1n1 WS   359140352  131072   10.390
13:52:15.162 python3        2290920 nvme1n1 WS   359140608  131072   10.467
13:52:15.162 python3        2290920 nvme1n1 WS   359140864  131072   10.540
13:52:15.162 python3        2290920 nvme1n1 WS   359141120  131072   10.602
13:52:15.162 python3        2290920 nvme1n1 WS   359141376  131072   10.676
13:52:15.162 python3        2290920 nvme1n1 WS   359141632  131072   10.752
13:52:15.162 python3        2290921 nvme1n1 WS   800763136  131072   10.826
13:52:15.162 python3        2290921 nvme1n1 WS   800763392  131072   10.897
13:52:15.162 python3        2290921 nvme1n1 WS   800763648  131072   10.950
13:52:15.163 python3        2290921 nvme1n1 WS   800780288  131072   11.027
13:52:15.163 python3        2290921 nvme1n1 WS   800780544  131072   11.100
13:52:15.163 python3        2290920 nvme1n1 WS   800772096  131072   11.199
13:52:15.163 python3        2290920 nvme1n1 WS   800772352  131072   11.266
13:52:15.163 python3        2290920 nvme1n1 WS   800772608  131072   11.344
13:52:15.163 python3        2290920 nvme1n1 WS   800772864  131072   11.417
13:52:15.163 python3        2290920 nvme1n1 WS   800773120  131072   11.491
13:52:15.163 python3        2290920 nvme1n1 WS   800773376  131072   11.566
13:52:15.163 python3        2290920 nvme1n1 WS   800773632  131072   11.680
13:52:15.163 python3        2290922 nvme1n1 WS   800776192  131072   11.757
13:52:15.163 python3        2290922 nvme1n1 WS   800776448  131072   11.816
