TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
13:56:01.056 kworker        2509234 nvme1n1 W    629577928  12288     0.071
13:56:01.333 nvme           2513737 Unknown N    -1         512       0.035
13:56:01.860 python3        2290921 nvme1n1 WS   804315136  131072    0.176
13:56:01.860 python3        2290921 nvme1n1 WS   804315392  131072    0.245
13:56:01.860 python3        2290921 nvme1n1 WS   804315648  131072    0.329
13:56:01.860 python3        2290921 nvme1n1 WS   804315904  131072    0.407
13:56:01.860 python3        2290921 nvme1n1 WS   804316160  131072    0.487
13:56:01.860 python3        2290921 nvme1n1 WS   804316416  131072    0.566
13:56:01.860 python3        2290921 nvme1n1 WS   804316672  131072    0.654
13:56:01.860 python3        2290921 nvme1n1 WS   804316928  131072    0.692
13:56:01.860 python3        2290921 nvme1n1 WS   804317184  131072    0.775
13:56:01.860 python3        2290921 nvme1n1 WS   804317440  131072    0.870
13:56:01.860 python3        2290921 nvme1n1 WS   804317696  131072    0.935
13:56:01.860 python3        2290921 nvme1n1 WS   804317952  131072    1.014
13:56:01.860 python3        2290921 nvme1n1 WS   804318208  131072    1.090
13:56:01.861 python3        2290921 nvme1n1 WS   804318464  131072    1.187
13:56:01.861 python3        2290921 nvme1n1 WS   804318720  131072    1.242
13:56:01.861 python3        2290921 nvme1n1 WS   804318976  131072    1.294
13:56:01.861 python3        2290921 nvme1n1 WS   804319232  131072    1.373
13:56:01.861 python3        2290921 nvme1n1 WS   804319488  131072    1.463
13:56:01.861 python3        2290922 nvme1n1 WS   804323328  131072    1.488
13:56:01.861 python3        2290922 nvme1n1 WS   804323584  131072    1.552
13:56:01.861 python3        2290922 nvme1n1 WS   804323840  131072    1.633
13:56:01.861 python3        2290922 nvme1n1 WS   804324096  131072    1.720
13:56:01.861 python3        2290922 nvme1n1 WS   804324352  131072    1.786
13:56:01.861 python3        2290922 nvme1n1 WS   804324608  131072    1.867
13:56:01.861 python3        2290922 nvme1n1 WS   804324864  131072    1.940
13:56:01.862 python3        2290922 nvme1n1 WS   804325120  131072    1.996
13:56:01.862 python3        2290922 nvme1n1 WS   804325376  131072    2.067
13:56:01.862 python3        2290922 nvme1n1 WS   804325632  131072    2.139
13:56:01.862 python3        2290922 nvme1n1 WS   804325888  131072    2.215
13:56:01.862 python3        2290922 nvme1n1 WS   804326144  131072    2.288
13:56:01.862 python3        2290922 nvme1n1 WS   804326400  131072    2.370
13:56:01.862 python3        2290922 nvme1n1 WS   804326656  131072    2.440
13:56:01.862 python3        2290922 nvme1n1 WS   804326912  131072    2.515
13:56:01.862 python3        2290922 nvme1n1 WS   804327168  131072    2.570
13:56:01.862 python3        2290922 nvme1n1 WS   804327424  131072    2.645
13:56:01.862 python3        2290922 nvme1n1 WS   804327680  131072    2.725
13:56:01.862 python3        2290921 nvme1n1 WS   804331520  131072    2.471
13:56:01.862 python3        2290921 nvme1n1 WS   804331776  131072    2.533
13:56:01.863 python3        2290921 nvme1n1 WS   804332032  131072    2.607
13:56:01.863 python3        2290921 nvme1n1 WS   804332288  131072    2.685
13:56:01.863 python3        2290921 nvme1n1 WS   804332544  131072    2.721
13:56:01.863 python3        2290921 nvme1n1 WS   804332800  131072    2.792
13:56:01.863 python3        2290921 nvme1n1 WS   804333056  131072    2.875
13:56:01.863 python3        2290921 nvme1n1 WS   804333312  131072    2.907
