TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
23:16:59.426 kworker        2678569 nvme1n1 W    634221128  106496    0.148
23:16:59.434 python3        2679477 nvme1n1 WS   181916160  131072    0.158
23:16:59.434 python3        2679477 nvme1n1 WS   181916416  131072    0.229
23:16:59.434 python3        2679477 nvme1n1 WS   181916672  131072    0.315
23:16:59.434 python3        2679477 nvme1n1 WS   181916928  131072    0.382
23:16:59.434 python3        2679477 nvme1n1 WS   181917184  131072    0.458
23:16:59.434 python3        2679477 nvme1n1 WS   181917440  131072    0.535
23:16:59.434 python3        2679477 nvme1n1 WS   181917696  131072    0.616
23:16:59.435 python3        2679477 nvme1n1 WS   181917952  131072    0.672
23:16:59.435 python3        2679477 nvme1n1 WS   181918208  131072    0.750
23:16:59.435 python3        2679477 nvme1n1 WS   181918464  131072    0.829
23:16:59.435 python3        2679477 nvme1n1 WS   181918720  131072    0.911
23:16:59.435 python3        2679477 nvme1n1 WS   181918976  131072    0.981
23:16:59.435 python3        2679477 nvme1n1 WS   181919232  131072    1.061
23:16:59.435 python3        2679477 nvme1n1 WS   181919488  131072    1.087
23:16:59.435 python3        2679477 nvme1n1 WS   181697536  131072    1.162
23:16:59.435 python3        2679476 nvme1n1 WS   181924352  131072    1.178
23:16:59.435 python3        2679476 nvme1n1 WS   181924608  131072    1.242
23:16:59.435 python3        2679476 nvme1n1 WS   181924864  131072    1.314
23:16:59.435 python3        2679476 nvme1n1 WS   181925120  131072    1.390
23:16:59.435 python3        2679477 nvme1n1 WS   181697792  131072    1.474
23:16:59.436 python3        2679477 nvme1n1 WS   181933568  131072    1.549
23:16:59.436 python3        2679477 nvme1n1 WS   181933824  131072    1.625
23:16:59.436 python3        2679476 nvme1n1 WS   181925376  131072    1.712
23:16:59.436 python3        2679476 nvme1n1 WS   181925632  131072    1.783
23:16:59.436 python3        2679476 nvme1n1 WS   181925888  131072    1.866
23:16:59.436 python3        2679476 nvme1n1 WS   181926144  131072    1.907
23:16:59.436 python3        2679476 nvme1n1 WS   181926400  131072    1.981
23:16:59.436 python3        2679476 nvme1n1 WS   181926656  131072    2.055
23:16:59.436 python3        2679476 nvme1n1 WS   181926912  131072    2.132
23:16:59.436 python3        2679476 nvme1n1 WS   181927168  131072    2.209
23:16:59.436 python3        2679476 nvme1n1 WS   181927424  131072    2.287
23:16:59.436 python3        2679476 nvme1n1 WS   181927680  131072    2.309
23:16:59.437 python3        2679476 nvme1n1 WS   181722112  131072    2.388
23:16:59.437 python3        2679476 nvme1n1 WS   181722368  131072    2.386
23:16:59.437 python3        2679476 nvme1n1 WS   181940736  131072    2.468
23:16:59.437 python3        2679476 nvme1n1 WS   181940992  131072    2.548
23:16:59.437 python3        2679476 nvme1n1 WS   181948928  131072    0.973
23:16:59.437 python3        2679476 nvme1n1 WS   181949184  131072    1.047
23:16:59.437 python3        2679476 nvme1n1 WS   181949440  131072    1.126
23:16:59.437 python3        2679476 nvme1n1 WS   181949696  131072    1.206
23:16:59.437 python3        2679476 nvme1n1 WS   181949952  131072    1.280
23:16:59.437 python3        2679476 nvme1n1 WS   181950208  131072    1.356
23:16:59.437 python3        2679476 nvme1n1 WS   181950464  131072    1.437
23:16:59.437 python3        2679476 nvme1n1 WS   181950720  131072    1.457
23:16:59.438 python3        2679476 nvme1n1 WS   181950976  131072    1.395
23:16:59.438 python3        2679476 nvme1n1 WS   181951232  131072    1.473
23:16:59.438 python3        2679476 nvme1n1 WS   181951488  131072    1.549
23:16:59.438 python3        2679476 nvme1n1 WS   181951744  131072    1.626
23:16:59.438 python3        2679476 nvme1n1 WS   181952000  131072    1.719
23:16:59.438 python3        2679476 nvme1n1 WS   181952256  131072    1.708
23:16:59.438 python3        2679476 nvme1n1 WS   181935616  131072    1.787
23:16:59.438 python3        2679476 nvme1n1 WS   181935872  131072    1.788
