TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
23:26:18.759 jbd2/nv        752     nvme1n1 WSM  878116696  126976    0.162
23:26:18.759 jbd2/nv        752     nvme1n1 WSM  878116944  4096      0.029
23:26:18.962 nvme           2700499 Unknown N    -1         512       0.033
23:26:19.965 nvme           2700554 Unknown N    -1         512       0.031
23:26:20.545 python3        2679477 nvme1n1 WS   273912320  131072    0.191
23:26:20.545 python3        2679477 nvme1n1 WS   273912576  131072    0.253
23:26:20.545 python3        2679477 nvme1n1 WS   273912832  131072    0.318
23:26:20.545 python3        2679477 nvme1n1 WS   273913088  131072    0.396
23:26:20.545 python3        2679477 nvme1n1 WS   273913344  131072    0.479
23:26:20.545 python3        2679477 nvme1n1 WS   273913600  131072    0.559
23:26:20.545 python3        2679477 nvme1n1 WS   273913856  131072    0.633
23:26:20.545 python3        2679477 nvme1n1 WS   273914112  131072    0.690
23:26:20.546 python3        2679477 nvme1n1 WS   273914368  131072    0.768
23:26:20.546 python3        2679477 nvme1n1 WS   273914624  131072    0.867
23:26:20.546 python3        2679477 nvme1n1 WS   273914880  131072    0.928
23:26:20.546 python3        2679477 nvme1n1 WS   273915136  131072    1.002
23:26:20.546 python3        2679477 nvme1n1 WS   273915392  131072    1.082
23:26:20.546 python3        2679475 nvme1n1 WS   273920512  131072    1.153
23:26:20.546 python3        2679475 nvme1n1 WS   273920768  131072    1.221
23:26:20.546 python3        2679475 nvme1n1 WS   273921024  131072    1.296
23:26:20.546 python3        2679475 nvme1n1 WS   273921280  131072    1.378
23:26:20.546 python3        2679475 nvme1n1 WS   273921536  131072    1.454
23:26:20.546 python3        2679475 nvme1n1 WS   273921792  131072    1.534
23:26:20.546 python3        2679475 nvme1n1 WS   273922048  131072    1.613
23:26:20.547 python3        2679477 nvme1n1 WS   273915648  131072    1.701
23:26:20.547 python3        2679477 nvme1n1 WS   273717248  131072    1.771
23:26:20.547 python3        2679475 nvme1n1 WS   273922304  131072    1.830
23:26:20.547 python3        2679475 nvme1n1 WS   273922560  131072    1.907
23:26:20.547 python3        2679475 nvme1n1 WS   273922816  131072    1.982
23:26:20.547 python3        2679475 nvme1n1 WS   273923072  131072    2.057
23:26:20.547 python3        2679475 nvme1n1 WS   273923328  131072    2.136
23:26:20.547 python3        2679475 nvme1n1 WS   273923584  131072    2.214
23:26:20.547 python3        2679475 nvme1n1 WS   273923840  131072    2.258
23:26:20.547 python3        2679475 nvme1n1 WS   273725440  131072    2.356
23:26:20.547 python3        2679477 nvme1n1 WS   273717504  131072    2.404
23:26:20.548 python3        2679477 nvme1n1 WS   273941504  131072    2.485
23:26:20.548 python3        2679477 nvme1n1 WS   273941760  131072    2.549
23:26:20.548 python3        2679475 nvme1n1 WS   273928704  131072    2.582
23:26:20.548 python3        2679475 nvme1n1 WS   273928960  131072    2.632
23:26:20.548 python3        2679475 nvme1n1 WS   273929216  131072    2.688
23:26:20.548 python3        2679475 nvme1n1 WS   273929472  131072    2.762
23:26:20.548 python3        2679475 nvme1n1 WS   273929728  131072    2.833
23:26:20.548 python3        2679475 nvme1n1 WS   273929984  131072    2.909
23:26:20.548 python3        2679475 nvme1n1 WS   273930240  131072    2.980
23:26:20.548 python3        2679475 nvme1n1 WS   273930496  131072    3.030
23:26:20.548 python3        2679475 nvme1n1 WS   273930752  131072    3.106
23:26:20.548 python3        2679475 nvme1n1 WS   273931008  131072    3.190
23:26:20.548 python3        2679475 nvme1n1 WS   273931264  131072    3.264
23:26:20.548 python3        2679475 nvme1n1 WS   273931520  131072    3.339
23:26:20.549 python3        2679475 nvme1n1 WS   273931776  131072    3.411
23:26:20.549 python3        2679475 nvme1n1 WS   273932032  131072    3.446
23:26:20.549 python3        2679475 nvme1n1 WS   273741824  131072    3.528
23:26:20.549 python3        2679475 nvme1n1 WS   273742080  131072    3.538
23:26:20.549 python3        2679475 nvme1n1 WS   273949696  131072    3.610
23:26:20.549 python3        2679475 nvme1n1 WS   273949952  131072    3.679
23:26:20.549 python3        2679475 nvme1n1 WS   273725696  131072    3.554
23:26:20.549 python3        2679475 nvme1n1 WS   273957888  131072    3.625
