TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
23:28:13.217 kworker        2678569 nvme0n1 W    37828040   4096      0.962
23:28:13.218 kworker        2697704 nvme0n1 W    8145392    65536     1.371
23:28:13.218 kworker        2697704 nvme0n1 W    8150512    131072    1.545
23:28:13.218 kworker        2697704 nvme0n1 W    8146416    131072    1.802
23:28:13.218 kworker        2697704 nvme0n1 W    8152816    131072    1.813
23:28:13.218 kworker        2697704 nvme0n1 W    39168000   131072    2.102
23:28:13.219 kworker        2697704 nvme0n1 W    39180032   4096      0.725
23:28:13.219 kworker        2697704 nvme0n1 W    39180928   4096      0.517
23:28:13.219 kworker        2697704 nvme0n1 W    39180480   4096      0.830
23:28:13.219 kworker        2697704 nvme0n1 W    8150000    262144    2.793
23:28:13.219 kworker        2697704 nvme0n1 W    39181368   4096      0.899
23:28:13.220 kworker        2697704 nvme0n1 W    8152048    262144    3.289
23:28:13.220 kworker        2697704 nvme0n1 W    39181816   4096      0.910
23:28:13.220 kworker        2697704 nvme0n1 W    39182256   4096      0.914
23:28:13.220 kworker        2697704 nvme0n1 W    39179520   131072    2.065
23:28:13.220 kworker        2697704 nvme0n1 W    39183144   4096      0.889
23:28:13.220 kworker        2697704 nvme0n1 W    39184032   4096      0.892
23:28:13.220 kworker        2697704 nvme0n1 W    39183592   4096      0.894
23:28:13.220 kworker        2697704 nvme0n1 W    39182704   4096      0.952
23:28:13.220 kworker        2697704 nvme0n1 W    39184488   4096      0.830
23:28:13.220 kworker        2697704 nvme0n1 W    39185368   4096      0.831
23:28:13.220 kworker        2697704 nvme0n1 W    39184952   4096      0.891
23:28:13.221 kworker        2697704 nvme0n1 W    39186448   4096      0.880
23:28:13.221 kworker        2697704 nvme0n1 W    39187328   4096      0.883
23:28:13.221 kworker        2697704 nvme0n1 W    39186888   4096      0.885
23:28:13.221 kworker        2697704 nvme0n1 W    39186000   4096      0.944
23:28:13.221 kworker        2697704 nvme0n1 W    39185560   4096      0.949
23:28:13.221 kworker        2697704 nvme0n1 W    39187488   4096      0.882
23:28:13.221 kworker        2697704 nvme0n1 W    39187704   4096      0.885
23:28:13.222 kworker        2697704 nvme0n1 W    39189224   4096      0.872
23:28:13.222 kworker        2697704 nvme0n1 W    39189640   4096      0.876
23:28:13.222 kworker        2697704 nvme0n1 W    39188752   4096      0.882
23:28:13.222 kworker        2697704 nvme0n1 W    7337992    4096      0.724
23:28:13.222 kworker        2697704 nvme0n1 W    39195712   16384     0.945
23:28:13.223 kworker        2697704 nvme0n1 W    39190144   65536     1.364
23:28:13.223 kworker        2697704 nvme0n1 W    39195776   65536     1.441
23:28:13.511 nvme           2703086 Unknown N    -1         512       0.034
23:28:14.031 python3        2679477 nvme1n1 WS   303997440  131072    0.173
23:28:14.031 python3        2679477 nvme1n1 WS   303997696  131072    0.239
23:28:14.032 python3        2679477 nvme1n1 WS   303997952  131072    0.323
23:28:14.032 python3        2679477 nvme1n1 WS   303998208  131072    0.403
23:28:14.032 python3        2679477 nvme1n1 WS   303998464  131072    0.474
23:28:14.032 python3        2679477 nvme1n1 WS   303998720  131072    0.553
23:28:14.032 python3        2679477 nvme1n1 WS   303998976  131072    0.625
23:28:14.032 python3        2679477 nvme1n1 WS   303999232  131072    0.666
23:28:14.032 python3        2679477 nvme1n1 WS   303999488  131072    0.729
23:28:14.032 python3        2679477 nvme1n1 WS   303999744  131072    0.810
23:28:14.032 python3        2679477 nvme1n1 WS   304000000  131072    0.894
23:28:14.032 python3        2679477 nvme1n1 WS   304000256  131072    0.977
23:28:14.032 python3        2679476 nvme1n1 WS   304005632  131072    1.070
23:28:14.032 python3        2679476 nvme1n1 WS   304005888  131072    1.126
23:28:14.033 python3        2679476 nvme1n1 WS   304006144  131072    1.207
