TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
23:28:38.783 jbd2/nv        391     nvme0n1 WSM  4270920    36864     1.207
23:28:38.783 jbd2/nv        391     nvme0n1 WSM  4270992    4096      0.805
23:28:38.829 nvme           2703657 Unknown N    -1         512       0.037
23:28:39.732 python3        2679476 nvme1n1 WS   309535232  131072    0.197
23:28:39.732 python3        2679476 nvme1n1 WS   309535488  131072    0.245
23:28:39.732 python3        2679476 nvme1n1 WS   309535744  131072    0.320
23:28:39.732 python3        2679476 nvme1n1 WS   309536000  131072    0.403
23:28:39.732 python3        2679476 nvme1n1 WS   309536256  131072    0.481
23:28:39.732 python3        2679476 nvme1n1 WS   309536512  131072    0.562
23:28:39.732 python3        2679476 nvme1n1 WS   309536768  131072    0.641
23:28:39.732 python3        2679476 nvme1n1 WS   309537024  131072    0.699
23:28:39.732 python3        2679476 nvme1n1 WS   309537280  131072    0.774
23:28:39.733 python3        2679476 nvme1n1 WS   309537536  131072    0.859
23:28:39.733 python3        2679476 nvme1n1 WS   309537792  131072    0.940
23:28:39.733 python3        2679476 nvme1n1 WS   309538048  131072    1.022
23:28:39.733 python3        2679476 nvme1n1 WS   309538304  131072    1.106
23:28:39.733 python3        2679476 nvme1n1 WS   309538560  131072    1.140
23:28:39.733 python3        2679476 nvme1n1 WS   309356544  131072    1.218
23:28:39.733 python3        2679476 nvme1n1 WS   309356800  131072    1.246
23:28:39.733 python3        2679476 nvme1n1 WS   309380096  131072    1.327
23:28:39.733 python3        2679476 nvme1n1 WS   309380352  131072    1.431
23:28:39.733 python3        2679477 nvme1n1 WS   309543424  131072    0.826
23:28:39.733 python3        2679477 nvme1n1 WS   309543680  131072    0.890
23:28:39.733 python3        2679477 nvme1n1 WS   309543936  131072    0.968
23:28:39.734 python3        2679477 nvme1n1 WS   309544192  131072    1.048
23:28:39.734 python3        2679477 nvme1n1 WS   309544448  131072    1.128
23:28:39.734 python3        2679477 nvme1n1 WS   309544704  131072    1.206
23:28:39.734 python3        2679477 nvme1n1 WS   309544960  131072    1.286
23:28:39.734 python3        2679477 nvme1n1 WS   309545216  131072    1.339
23:28:39.734 python3        2679477 nvme1n1 WS   309545472  131072    1.423
23:28:39.734 python3        2679477 nvme1n1 WS   309545728  131072    1.497
23:28:39.734 python3        2679477 nvme1n1 WS   309545984  131072    1.576
23:28:39.734 python3        2679477 nvme1n1 WS   309546240  131072    1.655
23:28:39.734 python3        2679477 nvme1n1 WS   309546496  131072    1.729
23:28:39.734 python3        2679477 nvme1n1 WS   309546752  131072    1.780
23:28:39.735 python3        2679477 nvme1n1 WS   309364736  131072    1.857
23:28:39.735 python3        2679477 nvme1n1 WS   309364992  131072    1.853
23:28:39.735 python3        2679477 nvme1n1 WS   309392384  131072    1.938
23:28:39.735 python3        2679477 nvme1n1 WS   309392640  131072    2.014
23:28:39.735 python3        2679475 nvme1n1 WS   309555712  131072    2.068
23:28:39.735 python3        2679475 nvme1n1 WS   309555968  131072    2.130
23:28:39.735 python3        2679475 nvme1n1 WS   309556224  131072    2.199
23:28:39.735 python3        2679475 nvme1n1 WS   309556480  131072    2.280
23:28:39.735 python3        2679475 nvme1n1 WS   309556736  131072    2.351
23:28:39.735 python3        2679475 nvme1n1 WS   309556992  131072    2.423
23:28:39.735 python3        2679475 nvme1n1 WS   309557248  131072    2.490
23:28:39.735 python3        2679475 nvme1n1 WS   309557504  131072    2.530
23:28:39.735 python3        2679475 nvme1n1 WS   309557760  131072    2.604
23:28:39.736 python3        2679475 nvme1n1 WS   309558016  131072    2.680
23:28:39.736 python3        2679475 nvme1n1 WS   309558272  131072    2.749
23:28:39.736 python3        2679475 nvme1n1 WS   309558528  131072    2.825
23:28:39.736 python3        2679475 nvme1n1 WS   309558784  131072    2.900
23:28:39.736 python3        2679475 nvme1n1 WS   309559040  131072    2.927
23:28:39.736 python3        2679475 nvme1n1 WS   309372928  131072    3.002
23:28:39.736 python3        2679475 nvme1n1 WS   309373184  131072    3.027
23:28:39.736 python3        2679475 nvme1n1 WS   309396480  131072    3.087
23:28:39.736 python3        2679475 nvme1n1 WS   309396736  131072    3.161
23:28:39.736 python3        2679476 nvme1n1 WS   309559808  131072    2.992
23:28:39.736 python3        2679476 nvme1n1 WS   309560064  131072    3.065
23:28:39.736 python3        2679476 nvme1n1 WS   309560320  131072    3.139
23:28:39.736 python3        2679476 nvme1n1 WS   309560576  131072    3.217
23:28:39.737 python3        2679476 nvme1n1 WS   309560832  131072    3.293
23:28:39.737 python3        2679476 nvme1n1 WS   309561088  131072    3.362
23:28:39.737 python3        2679476 nvme1n1 WS   309561344  131072    3.437
23:28:39.737 python3        2679476 nvme1n1 WS   309561600  131072    3.471
23:28:39.737 python3        2679476 nvme1n1 WS   309561856  131072    3.544
23:28:39.737 python3        2679476 nvme1n1 WS   309562112  131072    3.618
23:28:39.737 python3        2679476 nvme1n1 WS   309562368  131072    3.693
23:28:39.737 python3        2679476 nvme1n1 WS   309562624  131072    3.762
23:28:39.737 python3        2679476 nvme1n1 WS   309562880  131072    3.836
23:28:39.737 python3        2679476 nvme1n1 WS   309563136  131072    3.867
23:28:39.737 python3        2679476 nvme1n1 WS   309568000  131072    3.939
23:28:39.737 python3        2679476 nvme1n1 WS   309568256  131072    3.937
23:28:39.737 python3        2679476 nvme1n1 WS   309593088  131072    4.008
23:28:39.738 python3        2679476 nvme1n1 WS   309593344  131072    4.082
23:28:39.738 python3        2679476 nvme1n1 WS   309576192  131072    3.696
23:28:39.738 python3        2679476 nvme1n1 WS   309576448  131072    3.767
23:28:39.738 python3        2679476 nvme1n1 WS   309576704  131072    3.839
23:28:39.738 python3        2679476 nvme1n1 WS   309576960  131072    3.907
23:28:39.738 python3        2679476 nvme1n1 WS   309577216  131072    3.982
23:28:39.738 python3        2679476 nvme1n1 WS   309577472  131072    4.056
23:28:39.738 python3        2679476 nvme1n1 WS   309577728  131072    4.127
23:28:39.738 python3        2679476 nvme1n1 WS   309577984  131072    4.153
23:28:39.738 python3        2679476 nvme1n1 WS   309578240  131072    4.221
23:28:39.738 python3        2679476 nvme1n1 WS   309578496  131072    4.300
23:28:39.738 python3        2679476 nvme1n1 WS   309578752  131072    4.371
