TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
06:39:31.452 ib_log_        125934  nvme1n1 WS   21242704   4096      0.057
06:39:31.476 ib_log_        125941  nvme1n1 WS   1755987968 4096      0.057
06:39:31.688 nvme           1951892 Unknown N    -1         512       0.036
06:39:32.379 python3        1784367 nvme1n1 WS   316342272  131072    0.232
06:39:32.379 python3        1784369 nvme1n1 WS   64450560   131072    0.320
06:39:32.379 python3        1784369 nvme1n1 WS   64450816   131072    0.380
06:39:32.379 python3        1784369 nvme1n1 WS   64451072   131072    0.457
06:39:32.379 python3        1784367 nvme1n1 WS   316342528  131072    0.562
06:39:32.379 python3        1784367 nvme1n1 WS   316342784  131072    0.619
06:39:32.379 python3        1784367 nvme1n1 WS   316343040  131072    0.674
06:39:32.379 python3        1784367 nvme1n1 WS   316343296  131072    0.745
06:39:32.379 python3        1784369 nvme1n1 WS   64451328   131072    0.843
06:39:32.379 python3        1784369 nvme1n1 WS   64451584   131072    0.921
06:39:32.379 python3        1784369 nvme1n1 WS   64451840   131072    0.998
06:39:32.379 python3        1784369 nvme1n1 WS   64452096   131072    1.089
06:39:32.379 python3        1784367 nvme1n1 WS   316343552  131072    1.156
06:39:32.379 python3        1784367 nvme1n1 WS   316343808  131072    1.235
06:39:32.380 python3        1784367 nvme1n1 WS   316344064  131072    1.296
06:39:32.380 python3        1784367 nvme1n1 WS   316344320  131072    1.373
06:39:32.380 python3        1784367 nvme1n1 WS   316344576  131072    1.451
06:39:32.380 python3        1784369 nvme1n1 WS   64452352   131072    1.561
06:39:32.380 python3        1784369 nvme1n1 WS   64452608   131072    1.643
06:39:32.380 python3        1784369 nvme1n1 WS   64452864   131072    1.723
06:39:32.380 python3        1784369 nvme1n1 WS   64453120   131072    1.803
06:39:32.380 python3        1784369 nvme1n1 WS   64453376   131072    1.883
06:39:32.380 python3        1784369 nvme1n1 WS   64453632   131072    1.963
06:39:32.380 python3        1784369 nvme1n1 WS   64453888   131072    2.045
06:39:32.380 python3        1784369 nvme1n1 WS   64454144   131072    2.129
06:39:32.380 python3        1784367 nvme1n1 WS   316344832  131072    2.201
06:39:32.381 python3        1784367 nvme1n1 WS   316345088  131072    2.276
06:39:32.381 python3        1784367 nvme1n1 WS   316345344  131072    2.349
06:39:32.381 python3        1784367 nvme1n1 WS   316345600  131072    2.421
06:39:32.381 python3        1784367 nvme1n1 WS   316345856  131072    2.500
06:39:32.381 python3        1784369 nvme1n1 WS   64454400   131072    2.578
06:39:32.381 python3        1784369 nvme1n1 WS   64454656   131072    2.653
06:39:32.381 python3        1784369 nvme1n1 WS   64454912   131072    2.731
06:39:32.381 python3        1784367 nvme1n1 WS   316346112  131072    2.785
06:39:32.381 python3        1784367 nvme1n1 WS   316350464  131072    2.860
06:39:32.381 python3        1784367 nvme1n1 WS   316350720  131072    2.936
06:39:32.381 python3        1784368 nvme1n1 WS   316346368  131072    3.016
06:39:32.381 python3        1784368 nvme1n1 WS   316346624  131072    3.084
06:39:32.382 python3        1784368 nvme1n1 WS   316346880  131072    3.162
06:39:32.382 python3        1784368 nvme1n1 WS   316347136  131072    3.234
06:39:32.382 python3        1784368 nvme1n1 WS   316347392  131072    3.309
06:39:32.382 python3        1784368 nvme1n1 WS   316347648  131072    3.385
06:39:32.382 python3        1784368 nvme1n1 WS   316347904  131072    3.461
06:39:32.382 python3        1784366 nvme1n1 WS   316354560  131072    3.588
06:39:32.382 python3        1784366 nvme1n1 WS   316354816  131072    3.616
06:39:32.382 python3        1784366 nvme1n1 WS   316355072  131072    3.678
06:39:32.382 python3        1784366 nvme1n1 WS   316355328  131072    3.752
06:39:32.382 python3        1784368 nvme1n1 WS   316348160  131072    3.830
06:39:32.382 python3        1784368 nvme1n1 WS   316348416  131072    3.908
06:39:32.382 python3        1784368 nvme1n1 WS   316348672  131072    3.989
06:39:32.382 python3        1784368 nvme1n1 WS   316348928  131072    4.058
06:39:32.383 python3        1784368 nvme1n1 WS   316349184  131072    4.132
06:39:32.383 python3        1784368 nvme1n1 WS   316349440  131072    4.212
06:39:32.383 python3        1784366 nvme1n1 WS   316355584  131072    4.305
06:39:32.383 python3        1784366 nvme1n1 WS   316355840  131072    4.380
06:39:32.383 python3        1784366 nvme1n1 WS   316356096  131072    4.456
06:39:32.383 python3        1784368 nvme1n1 WS   316349696  131072    4.523
06:39:32.383 python3        1784368 nvme1n1 WS   316349952  131072    4.598
06:39:32.383 python3        1784368 nvme1n1 WS   316350208  131072    4.659
06:39:32.383 python3        1784366 nvme1n1 WS   316356352  131072    4.753
