TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
22:47:40.517 nvme           1273187 Unknown N    -1         512       0.039
22:47:40.705 kworker        1271691 nvme0n1 WM   2101384    4096      1.079
22:47:40.705 kworker        1271691 nvme0n1 WM   2101512    4096      1.150
22:47:40.705 kworker        1271691 nvme0n1 WM   2101576    4096      1.149
22:47:40.705 kworker        1271691 nvme0n1 WM   2101560    4096      1.151
22:47:40.705 kworker        1271691 nvme0n1 WM   2101704    4096      1.151
22:47:40.705 kworker        1271691 nvme0n1 WM   2101984    4096      1.148
22:47:40.705 kworker        1271691 nvme0n1 WM   2102424    4096      1.145
22:47:40.705 kworker        1271691 nvme0n1 WM   2101536    8192      1.211
22:47:40.705 kworker        1271691 nvme0n1 WM   2101720    4096      1.209
22:47:40.705 kworker        1271691 nvme0n1 WM   2101760    4096      1.210
22:47:40.705 kworker        1271691 nvme0n1 WM   2102184    8192      1.207
22:47:40.705 kworker        1271691 nvme0n1 WM   2102456    8192      1.206
22:47:40.705 kworker        1271691 nvme0n1 WM   2099208    12288     1.278
22:47:40.705 kworker        1271691 nvme0n1 WM   2102016    12288     1.269
22:47:40.705 kworker        1271691 nvme0n1 WM   2102376    16384     1.269
22:47:40.705 kworker        1271691 nvme0n1 WM   2101808    12288     1.277
22:47:40.706 kworker        1271691 nvme0n1 WM   2102520    4096      0.770
22:47:40.706 kworker        1271691 nvme0n1 WM   2103912    4096      0.766
22:47:40.706 kworker        1271691 nvme0n1 WM   2102552    4096      0.832
22:47:40.706 kworker        1271691 nvme0n1 WM   2102960    4096      0.832
22:47:40.706 kworker        1271691 nvme0n1 WM   2103976    4096      0.830
22:47:40.706 kworker        1271691 nvme0n1 WM   2104256    8192      0.826
22:47:40.706 kworker        1271691 nvme0n1 WM   2103000    8192      0.837
22:47:40.706 kworker        1271691 nvme0n1 WM   2104072    12288     0.884
22:47:40.706 kworker        1271691 nvme0n1 WM   2104216    12288     0.946
22:47:40.706 kworker        1271691 nvme0n1 WM   2102880    16384     0.958
22:47:40.706 kworker        1271691 nvme0n1 WM   2102536    4096      1.019
22:47:40.706 kworker        1271691 nvme0n1 WM   2103992    32768     1.073
22:47:40.707 kworker        1271691 nvme0n1 WM   2104752    4096      0.794
22:47:40.707 kworker        1271691 nvme0n1 WM   2104688    8192      0.798
22:47:40.707 kworker        1271691 nvme0n1 WM   2104800    8192      0.797
22:47:40.707 kworker        1271691 nvme0n1 WM   2104936    4096      0.797
22:47:40.707 kworker        1271691 nvme0n1 WM   2104720    8192      0.858
22:47:40.707 kworker        1271691 nvme0n1 WM   2105408    4096      0.855
22:47:40.707 kworker        1271691 nvme0n1 WM   2105384    4096      0.858
22:47:40.707 kworker        1271691 nvme0n1 WM   2105424    4096      0.857
22:47:40.707 kworker        1271691 nvme0n1 WM   2104672    4096      0.930
22:47:40.707 kworker        1271691 nvme0n1 WM   2104824    12288     0.927
22:47:40.707 kworker        1271691 nvme0n1 WM   2104632    16384     0.989
22:47:40.708 kworker        1271691 nvme0n1 WM   2106112    4096      0.827
22:47:40.708 kworker        1271691 nvme0n1 WM   2112944    4096      0.827
22:47:40.708 kworker        1271691 nvme0n1 WM   2111824    4096      0.890
22:47:40.708 kworker        1271691 nvme0n1 WM   2120456    4096      0.891
22:47:40.708 kworker        1271691 nvme0n1 WM   2143848    4096      0.892
22:47:40.708 kworker        1271691 nvme0n1 WM   2112904    4096      0.896
22:47:40.708 kworker        1271691 nvme0n1 WM   2144064    4096      0.893
22:47:40.708 kworker        1271691 nvme0n1 WM   6293592    4096      0.896
22:47:40.708 kworker        1271691 nvme0n1 WM   2144016    4096      0.950
22:47:40.708 kworker        1271691 nvme0n1 WM   6310376    4096      0.947
22:47:40.708 kworker        1271691 nvme0n1 WM   2235488    4096      0.952
22:47:40.708 kworker        1271691 nvme0n1 WM   6310280    4096      0.952
22:47:40.708 kworker        1271691 nvme0n1 WM   6310392    4096      0.952
22:47:40.709 kworker        1271691 nvme0n1 WM   10487864   4096      0.771
22:47:40.709 kworker        1271691 nvme0n1 WM   10498832   4096      0.772
22:47:40.709 kworker        1271691 nvme0n1 WM   14682128   4096      0.773
22:47:40.709 kworker        1271691 nvme0n1 WM   14723296   4096      0.771
22:47:40.709 kworker        1271691 nvme0n1 WM   18876544   4096      0.769
22:47:40.709 kworker        1271691 nvme0n1 WM   14682208   8192      0.830
22:47:40.709 kworker        1271691 nvme0n1 WM   14723096   4096      0.831
22:47:40.709 kworker        1271691 nvme0n1 WM   18876432   4096      0.829
22:47:40.709 kworker        1271691 nvme0n1 WM   14723840   8192      0.888
22:47:40.709 kworker        1271691 nvme0n1 WM   14725584   8192      0.889
22:47:40.709 kworker        1271691 nvme0n1 WM   6310504    4096      0.966
22:47:40.710 kworker        1271691 nvme0n1 WM   18878152   4096      0.779
22:47:40.710 kworker        1271691 nvme0n1 WM   31459424   4096      0.782
22:47:40.710 kworker        1271691 nvme0n1 WM   18878168   8192      0.840
22:47:40.710 kworker        1271691 nvme0n1 WM   35653672   4096      0.901
22:47:41.217 kworker        1186243 nvme0n1 W    8128552    4096      0.845
22:47:41.217 kworker        1186243 nvme0n1 W    8128512    4096      0.899
22:47:41.217 kworker        1186243 nvme0n1 W    8128616    4096      0.898
22:47:41.217 kworker        1186243 nvme0n1 W    8128696    4096      0.898
22:47:41.217 kworker        1186243 nvme0n1 W    8128712    4096      0.900
22:47:41.217 kworker        1186243 nvme0n1 W    8128728    4096      0.901
22:47:41.217 kworker        1186243 nvme0n1 W    8128640    8192      0.960
22:47:41.217 kworker        1186243 nvme0n1 W    8128888    32768     1.015
22:47:41.218 kworker        1186243 nvme0n1 W    8128760    49152     1.266
22:47:41.219 kworker        1186243 nvme0n1 W    8130040    262144    2.314
22:47:41.219 kworker        1186243 nvme0n1 W    8131064    262144    2.622
22:47:41.219 kworker        1186243 nvme0n1 W    8129528    262144    2.689
22:47:41.219 kworker        1186243 nvme0n1 W    8132088    262144    2.931
22:47:41.219 kworker        1186243 nvme0n1 W    8130552    262144    2.938
22:47:41.219 kworker        1186243 nvme0n1 W    8129016    262144    3.008
22:47:41.219 kworker        1186243 nvme0n1 W    8131576    262144    3.123
22:47:41.220 kworker        1186243 nvme0n1 W    8134136    262144    2.905
22:47:41.220 kworker        1186243 nvme0n1 W    8132600    262144    3.037
22:47:41.220 kworker        1186243 nvme0n1 W    8135160    262144    3.089
22:47:41.220 kworker        1186243 nvme0n1 W    8133112    262144    3.282
22:47:41.220 kworker        1186243 nvme0n1 W    8133624    262144    3.294
22:47:41.221 kworker        1186243 nvme0n1 W    8137208    131072    2.028
22:47:41.221 kworker        1186243 nvme0n1 W    8134648    262144    3.911
22:47:41.221 kworker        1186243 nvme0n1 W    8137976    131072    2.219
22:47:41.222 kworker        1186243 nvme0n1 W    8138488    131072    2.579
22:47:41.222 kworker        1186243 nvme0n1 W    8135672    262144    3.296
22:47:41.222 kworker        1186243 nvme0n1 W    8140024    131072    2.806
22:47:41.222 kworker        1186243 nvme0n1 W    8136696    131072    3.416
22:47:41.222 kworker        1186243 nvme0n1 W    8142128    4096      1.841
22:47:41.222 kworker        1186243 nvme0n1 W    8136184    262144    3.480
22:47:41.222 kworker        1186243 nvme0n1 W    8139000    262144    3.132
22:47:41.223 kworker        1186243 nvme0n1 W    8142584    65536     2.449
22:47:41.223 kworker        1186243 nvme0n1 W    36016920   4096      1.128
22:47:41.223 kworker        1186243 nvme0n1 W    36014368   16384     2.293
22:47:41.223 kworker        1186243 nvme0n1 W    36016056   4096      1.144
22:47:41.223 kworker        1186243 nvme0n1 W    36016256   16384     1.145
22:47:41.223 kworker        1186243 nvme0n1 W    36017088   16384     0.912
22:47:41.223 kworker        1186243 nvme0n1 W    36019552   16384     0.919
22:47:41.223 kworker        1186243 nvme0n1 W    8144632    131072    2.371
22:47:41.223 kworker        1186243 nvme0n1 W    36014464   65536     1.221
22:47:41.224 kworker        1186243 nvme0n1 W    8143864    65536     2.684
22:47:41.224 kworker        1186243 nvme0n1 W    8141048    262144    3.540
22:47:41.224 kworker        1186243 nvme0n1 W    8142840    262144    3.773
22:47:41.224 kworker        1186243 nvme0n1 W    8144120    262144    3.497
22:47:41.225 kworker        1186243 nvme0n1 W    36021760   131072    1.436
22:47:41.225 kworker        1186243 nvme0n1 W    36023192   4096      1.437
22:47:41.225 kworker        1186243 nvme0n1 W    36023328   4096      1.438
22:47:41.225 kworker        1186243 nvme0n1 W    36023392   16384     1.475
22:47:41.225 kworker        1186243 nvme0n1 W    36023456   16384     1.476
22:47:41.225 kworker        1186243 nvme0n1 W    36023584   16384     1.665
22:47:41.225 kworker        1186243 nvme0n1 W    36017536   196608    2.914
22:47:41.225 kworker        1186243 nvme0n1 W    36020224   262144    3.097
22:47:41.225 kworker        1186243 nvme0n1 W    36021248   262144    2.254
22:47:41.226 kworker        1186243 nvme0n1 W    36024320   262144    1.796
22:47:41.226 kworker        1186243 nvme0n1 W    36025408   16384     1.621
22:47:41.226 kworker        1186243 nvme0n1 W    36024832   131072    1.858
22:47:41.226 kworker        1186243 nvme0n1 W    36025472   131072    1.860
22:47:41.226 kworker        1186243 nvme0n1 W    36022528   262144    2.863
22:47:41.226 kworker        1186243 nvme0n1 W    36026368   131072    2.409
22:47:41.227 kworker        1186243 nvme0n1 W    36027392   131072    2.512
22:47:41.227 kworker        1186243 nvme0n1 W    36025856   262144    2.613
22:47:41.227 kworker        1186243 nvme0n1 W    36023808   262144    2.917
22:47:41.227 kworker        1186243 nvme0n1 W    36027904   262144    2.980
22:47:41.227 kworker        1186243 nvme0n1 W    36028416   262144    3.222
22:47:41.227 kworker        1186243 nvme0n1 W    36029184   131072    3.277
22:47:41.228 kworker        1186243 nvme0n1 W    36029696   262144    3.718
22:47:41.228 kworker        1186243 nvme0n1 W    36161664   16384     2.851
22:47:41.228 kworker        1186243 nvme0n1 W    36162048   65536     3.056
22:47:41.228 kworker        1186243 nvme0n1 W    36030208   131072    3.061
22:47:41.229 kworker        1186243 nvme0n1 W    36162560   262144    3.586
22:47:41.229 kworker        1186243 nvme0n1 W    36164768   16384     3.587
22:47:41.229 kworker        1186243 nvme0n1 W    36167032   4096      2.646
22:47:41.229 kworker        1186243 nvme0n1 W    36164832   16384     2.653
22:47:41.229 kworker        1186243 nvme0n1 W    36167480   4096      2.656
22:47:41.229 kworker        1186243 nvme0n1 W    36164096   262144    4.166
22:47:41.229 kworker        1186243 nvme0n1 W    36164992   196608    3.388
22:47:41.230 kworker        1186243 nvme0n1 W    36165632   262144    4.021
22:47:41.230 kworker        1186243 nvme0n1 W    36167920   4096      3.029
22:47:41.230 kworker        1186243 nvme0n1 W    36166400   131072    4.034
22:47:41.230 kworker        1186243 nvme0n1 W    36168792   4096      3.039
